ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
274.9,0.5466,NA,NA,NA,NA,110.7,1.001,1.58E+09,1.448,NA,NA,22.27,1.922
273.9,0.6502,NA,NA,NA,NA,133.6,0.7808,67140,1.033,NA,NA,22.04,1.594
95.2,0.9073,NA,NA,NA,NA,96.45,1.147,194500000,0.5054,NA,NA,21.22,1.663
228.5,0.5936,NA,NA,NA,NA,112.7,0.8853,1494,0.9607,NA,NA,21.31,1.493
151.9,0.6682,NA,NA,NA,NA,118.8,0.9726,141000,1.324,NA,NA,22.75,1.761
409.4,0.504,NA,NA,NA,NA,170.6,0.6541,8525000,0.9917,NA,NA,21.17,1.707
276.5,0.5342,NA,NA,NA,NA,294.2,0.5137,3211000,0.9762,NA,NA,21.9,1.922
273.5,0.5261,NA,NA,NA,NA,498.9,0.5098,2107000,1.217,NA,NA,24.62,1.646
257.5,0.5213,NA,NA,NA,NA,409.7,0.5027,4881000,1.371,NA,NA,22.16,1.588
139.1,0.8823,NA,NA,NA,NA,158.9,0.6126,1.91E+09,1.961,NA,NA,20.69,1.69
